"make","model","trim","year start","year end","bp","hub","offset","thread","thread","suggested tire size","tire_size","with"
"BMW","3 SERIES","335","2008","2009","5x120","72.56","HIGH","12X1.5","B BOLT","r-oe-18","255/30-18",""
"BMW","3 SERIES","335","2008","2009","5x120","72.56","HIGH","12X1.5","B BOLT","f-oe-19","225/35-19",""
"BMW","3 SERIES","335","2008","2009","5x120","72.56","HIGH","12X1.5","B BOLT","r-oe-19","255/30-19",""
"BMW","M3","BASE","1994","2000","5x120","72.56","MID+","12X1.5","B BOLT","oe-17","235/40-17",""
"BMW","M3","BASE","1994","2000","5x120","72.56","MID+","12X1.5","B BOLT","f-oe-17","225/45-17",""
"BMW","M3","BASE","1994","2000","5x120","72.56","MID+","12X1.5","B BOLT","r-oe-17","245/40-17",""
"BMW","M3","BASE","2001","2005","5x120","72.56","MID+","12X1.5","B BOLT","f-oe-18","225/45-18",""
"BMW","M3","BASE","2001","2005","5x120","72.56","MID+","12X1.5","B BOLT","r-oe-18","255/40-18",""
"BMW","M3","BASE","2001","2005","5x120","72.56","MID+","12X1.5","B BOLT","f-oe-19","225/40-19",""
"BMW","M3","BASE","2001","2005","5x120","72.56","MID+","12X1.5","B BOLT","r-oe-19","255/35-19",""
"BMW","M3","BASE","2006","2006","5x120","72.56","MID+","12X1.5","B BOLT","f-oe-18","225/45-18",""
"BMW","M3","BASE","2006","2006","5x120","72.56","MID+","12X1.5","B BOLT","r-oe-18","255/40-18",""
"BMW","M3","BASE","2008","2009","5x120","72.56","MID+","12X1.5","B BOLT","f-oe-18","245/40-18",""
"BMW","M3","BASE","2008","2009","5x120","72.56","MID+","12X1.5","B BOLT","r-oe-18","265/40-18",""
"BMW","M3","BASE","2008","2009","5x120","72.56","MID+","12X1.5","B BOLT","f-oe-19","245/35-19",""
"BMW","M3","BASE","2008","2009","5x120","72.56","MID+","12X1.5","B BOLT","r-oe-19","265/35-19",""
"BMW","5 SERIES","525","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","oe-15","205/65-15",""
"BMW","5 SERIES","525","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","oe-15","225/60-15",""
"BMW","5 SERIES","525","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","oe-16","225/55-18",""
"BMW","5 SERIES","525","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","f-oe-17","265/45-17",""
"BMW","5 SERIES","525","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","r-oe-17","255/40-17",""
"BMW","5 SERIES","528","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","oe-15","205/65-15",""
"BMW","5 SERIES","528","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","oe-15","225/60-15",""
"BMW","5 SERIES","528","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","oe-16","225/55-18",""
"BMW","5 SERIES","528","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","f-oe-17","265/45-17",""
"BMW","5 SERIES","528","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","r-oe-17","255/40-17",""
"BMW","5 SERIES","530","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","oe-15","205/65-15",""
"BMW","5 SERIES","530","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","oe-15","225/60-15",""
"BMW","5 SERIES","530","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","oe-16","225/55-18",""
"BMW","5 SERIES","530","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","f-oe-17","265/45-17",""
"BMW","5 SERIES","530","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","r-oe-17","255/40-17",""
"BMW","5 SERIES","540","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","oe-15","205/65-15",""
"BMW","5 SERIES","540","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","oe-15","225/60-15",""
"BMW","5 SERIES","540","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","oe-16","225/55-16",""
"BMW","5 SERIES","540","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","f-oe-17","265/45-17",""
"BMW","5 SERIES","540","1989","1996","5x120","72.56","MID","12X1.5","B BOLT","r-oe-17","255/40-17",""
